Current generation: 0 Number of solutions: 1000 Number of species: 1 Number of active species: 1 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.282045 Best fitness: 0.477143 Innovation number: 0 Average genome size: 2.000000 Average connection genes: 0.000000 Average field genes: 2.000000 Best solution: [solution 249 [ fit.: 0.477143, part.: (0.916099, 0.475206, 0.998142, 0.000000, 0.474829, ), spec.: 0, adj.fit.: 0.000477, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, last mutations{}]]
Current generation: 1 Number of solutions: 1000 Number of species: 3 Number of active species: 3 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.357737 Best fitness: 0.732902 Innovation number: 0 Average genome size: 2.145000 Average connection genes: 0.145000 Average field genes: 2.000000 Best solution: [solution 1864 [ fit.: 0.732902, part.: (0.959357, 0.927597, 0.997280, 0.200000, 0.969433, ), spec.: 0, adj.fit.: 0.000735, age: 0, parents (216, 63), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (mhk to gk)] [fg 2 (gk to mhk)] (added cg 1-2 innov.0) (mutated)}]]
Current generation: 78 Number of solutions: 1000 Number of species: 249 Number of active species: 53 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.436438 Best fitness: 0.746371 Innovation number: 74 Average genome size: 5.085000 Average connection genes: 2.390000 Average field genes: 2.695000 Best solution: [solution 69861 [ fit.: 0.746371, part.: (0.999885, 0.966639, 0.998176, 0.200000, 0.966671, ), spec.: 92, adj.fit.: 0.003521, age: 8, parents (49615, 68503), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 79 Number of solutions: 1000 Number of species: 261 Number of active species: 60 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.417821 Best fitness: 0.746399 Innovation number: 75 Average genome size: 5.454000 Average connection genes: 2.637000 Average field genes: 2.817000 Best solution: [solution 69861 [ fit.: 0.746399, part.: (0.999991, 0.966589, 0.998323, 0.200000, 0.966668, ), spec.: 92, adj.fit.: 0.004417, age: 9, parents (49615, 68503), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 80 Number of solutions: 1000 Number of species: 261 Number of active species: 58 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.663832 Best fitness: 0.746388 Innovation number: 75 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 69861 [ fit.: 0.746388, part.: (0.999969, 0.966644, 0.998201, 0.200000, 0.966669, ), spec.: 92, adj.fit.: 0.001307, age: 10, parents (49615, 68503), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 81 Number of solutions: 1000 Number of species: 263 Number of active species: 8 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.643134 Best fitness: 0.746392 Innovation number: 77 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 69861 [ fit.: 0.746392, part.: (0.999900, 0.966625, 0.998318, 0.200000, 0.966671, ), spec.: 197, adj.fit.: 0.049759, age: 11, parents (49615, 68503), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 82 Number of solutions: 1000 Number of species: 264 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.628610 Best fitness: 0.746408 Innovation number: 79 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 81978 [ fit.: 0.746408, part.: (0.999948, 0.966626, 0.998381, 0.200000, 0.966670, ), spec.: 92, adj.fit.: 0.001133, age: 0, parents (69861, 69861), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{ (mutated)}]]
Current generation: 83 Number of solutions: 1000 Number of species: 266 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.621827 Best fitness: 0.746389 Innovation number: 79 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 83180 [ fit.: 0.746389, part.: (0.999847, 0.966653, 0.998317, 0.200000, 0.966670, ), spec.: 92, adj.fit.: 0.001438, age: 0, parents (82000, 82000), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{ (mutated)}]]
Current generation: 84 Number of solutions: 1000 Number of species: 267 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.639539 Best fitness: 0.746361 Innovation number: 81 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 81995 [ fit.: 0.746361, part.: (0.999903, 0.966601, 0.998142, 0.200000, 0.966671, ), spec.: 92, adj.fit.: 0.001040, age: 2, parents (69861, 80999), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 85 Number of solutions: 1000 Number of species: 269 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.619870 Best fitness: 0.746347 Innovation number: 81 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 81995 [ fit.: 0.746347, part.: (0.999879, 0.966573, 0.998107, 0.200000, 0.966672, ), spec.: 92, adj.fit.: 0.001305, age: 3, parents (69861, 80999), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 86 Number of solutions: 1000 Number of species: 270 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.645624 Best fitness: 0.746363 Innovation number: 83 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 81995 [ fit.: 0.746363, part.: (0.999897, 0.966613, 0.998148, 0.200000, 0.966669, ), spec.: 197, adj.fit.: 0.010512, age: 4, parents (69861, 80999), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 87 Number of solutions: 1000 Number of species: 272 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.621549 Best fitness: 0.746308 Innovation number: 85 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 81995 [ fit.: 0.746308, part.: (0.999914, 0.966619, 0.997750, 0.200000, 0.966672, ), spec.: 249, adj.fit.: 0.020731, age: 5, parents (69861, 80999), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 88 Number of solutions: 1000 Number of species: 274 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.623508 Best fitness: 0.746311 Innovation number: 85 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 81995 [ fit.: 0.746311, part.: (0.999887, 0.966655, 0.997751, 0.200000, 0.966670, ), spec.: 92, adj.fit.: 0.001369, age: 6, parents (69861, 80999), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 89 Number of solutions: 1000 Number of species: 276 Number of active species: 13 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.647453 Best fitness: 0.746369 Innovation number: 87 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 81995 [ fit.: 0.746369, part.: (0.999810, 0.966657, 0.998214, 0.200000, 0.966669, ), spec.: 92, adj.fit.: 0.001400, age: 7, parents (69861, 80999), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 90 Number of solutions: 1000 Number of species: 276 Number of active species: 13 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.659315 Best fitness: 0.746349 Innovation number: 87 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 90199 [ fit.: 0.746349, part.: (0.999966, 0.999857, 0.998134, 0.200000, 0.933313, ), spec.: 92, adj.fit.: 0.001463, age: 0, parents (89300, 88515), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{ (mutated)}]]
Current generation: 91 Number of solutions: 1000 Number of species: 278 Number of active species: 7 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.597591 Best fitness: 0.746273 Innovation number: 89 Average genome size: 3.006000 Average connection genes: 1.004000 Average field genes: 2.002000 Best solution: [solution 90199 [ fit.: 0.746273, part.: (0.999878, 0.999779, 0.997829, 0.200000, 0.933306, ), spec.: 197, adj.fit.: 0.004523, age: 1, parents (89300, 88515), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 92 Number of solutions: 1000 Number of species: 280 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.603719 Best fitness: 0.746340 Innovation number: 89 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 90199 [ fit.: 0.746340, part.: (0.999945, 0.999783, 0.998204, 0.200000, 0.933306, ), spec.: 278, adj.fit.: 0.009102, age: 2, parents (89300, 88515), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 93 Number of solutions: 1000 Number of species: 282 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.625973 Best fitness: 0.746378 Innovation number: 89 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 93174 [ fit.: 0.746378, part.: (0.999887, 0.966600, 0.998265, 0.200000, 0.966678, ), spec.: 92, adj.fit.: 0.001228, age: 0, parents (91588, 92330), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 2 (fg nf rest. lvl. -0.500000)] [cg 1-2 (cg gk amp.-0.500000)]  (mutated)}]]
Current generation: 94 Number of solutions: 1000 Number of species: 283 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.631743 Best fitness: 0.746296 Innovation number: 89 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 93174 [ fit.: 0.746296, part.: (0.999923, 0.966542, 0.997770, 0.200000, 0.966669, ), spec.: 92, adj.fit.: 0.001141, age: 1, parents (91588, 92330), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 95 Number of solutions: 1000 Number of species: 285 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.618805 Best fitness: 0.746341 Innovation number: 89 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 93174 [ fit.: 0.746341, part.: (0.999880, 0.966596, 0.998035, 0.200000, 0.966675, ), spec.: 249, adj.fit.: 0.016225, age: 2, parents (91588, 92330), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 96 Number of solutions: 1000 Number of species: 286 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.584217 Best fitness: 0.746239 Innovation number: 89 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 94358 [ fit.: 0.746239, part.: (0.999953, 0.966027, 0.997954, 0.200000, 0.966736, ), spec.: 92, adj.fit.: 0.001225, age: 2, parents (91668, 92583), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 97 Number of solutions: 1000 Number of species: 288 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.581346 Best fitness: 0.746174 Innovation number: 91 Average genome size: 3.009000 Average connection genes: 1.006000 Average field genes: 2.003000 Best solution: [solution 94358 [ fit.: 0.746174, part.: (0.999884, 0.966043, 0.997558, 0.200000, 0.966744, ), spec.: 92, adj.fit.: 0.001202, age: 3, parents (91668, 92583), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 98 Number of solutions: 1000 Number of species: 289 Number of active species: 13 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.614886 Best fitness: 0.746318 Innovation number: 91 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 97966 [ fit.: 0.746318, part.: (0.999915, 0.966538, 0.997907, 0.200000, 0.966683, ), spec.: 92, adj.fit.: 0.001246, age: 0, parents (96880, 96958), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[cg 1-2 (cg gk width -0.500000)(cg gk amp.-0.500000)]  (mutated)}]]
Current generation: 99 Number of solutions: 1000 Number of species: 291 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.616322 Best fitness: 0.746350 Innovation number: 91 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 97966 [ fit.: 0.746350, part.: (0.999927, 0.966576, 0.998067, 0.200000, 0.966680, ), spec.: 197, adj.fit.: 0.002565, age: 1, parents (96880, 96958), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 100 Number of solutions: 1000 Number of species: 291 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.663789 Best fitness: 0.746376 Innovation number: 93 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 97966 [ fit.: 0.746376, part.: (0.999981, 0.966592, 0.998163, 0.200000, 0.966678, ), spec.: 197, adj.fit.: 0.001300, age: 2, parents (96880, 96958), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 101 Number of solutions: 1000 Number of species: 293 Number of active species: 7 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.631053 Best fitness: 0.746274 Innovation number: 95 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 100566 [ fit.: 0.746274, part.: (0.999874, 0.933357, 0.997791, 0.200000, 0.999762, ), spec.: 197, adj.fit.: 0.001484, age: 0, parents (99807, 99552), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 2 (fg mhk amp. exc. 0.500000)(fg mhk amp. inh. 0.500000)]  (mutated)}]]
Current generation: 102 Number of solutions: 1000 Number of species: 294 Number of active species: 8 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.642456 Best fitness: 0.746355 Innovation number: 95 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 100566 [ fit.: 0.746355, part.: (0.999906, 0.933360, 0.998362, 0.200000, 0.999716, ), spec.: 197, adj.fit.: 0.001141, age: 1, parents (99807, 99552), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 103 Number of solutions: 1000 Number of species: 295 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.625913 Best fitness: 0.746325 Innovation number: 97 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 100566 [ fit.: 0.746325, part.: (0.999808, 0.933361, 0.998140, 0.200000, 0.999802, ), spec.: 197, adj.fit.: 0.001056, age: 2, parents (99807, 99552), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 104 Number of solutions: 1000 Number of species: 298 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.592872 Best fitness: 0.746256 Innovation number: 99 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 103529 [ fit.: 0.746256, part.: (0.999875, 0.966046, 0.998306, 0.200000, 0.966597, ), spec.: 197, adj.fit.: 0.001284, age: 0, parents (102660, 102525), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[cg 1-2 (cg gk amp.0.500000)]  (mutated)}]]
Current generation: 105 Number of solutions: 1000 Number of species: 299 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.627994 Best fitness: 0.746316 Innovation number: 101 Average genome size: 3.006000 Average connection genes: 1.004000 Average field genes: 2.002000 Best solution: [solution 100566 [ fit.: 0.746316, part.: (0.999923, 0.933365, 0.997951, 0.200000, 0.999811, ), spec.: 197, adj.fit.: 0.001099, age: 4, parents (99807, 99552), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 106 Number of solutions: 1000 Number of species: 302 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.607361 Best fitness: 0.746285 Innovation number: 101 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 105714 [ fit.: 0.746285, part.: (0.999545, 0.933308, 0.998164, 0.200000, 0.999835, ), spec.: 197, adj.fit.: 0.001166, age: 0, parents (103627, 105394), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 2 (fg mhk amp. inh. -0.500000)(fg mhk width inh. -0.500000)]  (mutated)}]]
Current generation: 107 Number of solutions: 1000 Number of species: 307 Number of active species: 14 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.598712 Best fitness: 0.746231 Innovation number: 103 Average genome size: 3.213000 Average connection genes: 1.142000 Average field genes: 2.071000 Best solution: [solution 105714 [ fit.: 0.746231, part.: (0.999537, 0.933310, 0.997747, 0.200000, 0.999883, ), spec.: 302, adj.fit.: 0.013819, age: 1, parents (103627, 105394), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 108 Number of solutions: 1000 Number of species: 311 Number of active species: 18 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.591724 Best fitness: 0.746236 Innovation number: 103 Average genome size: 3.564000 Average connection genes: 1.376000 Average field genes: 2.188000 Best solution: [solution 105714 [ fit.: 0.746236, part.: (0.999589, 0.933318, 0.997701, 0.200000, 0.999892, ), spec.: 296, adj.fit.: 0.006604, age: 2, parents (103627, 105394), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 109 Number of solutions: 1000 Number of species: 320 Number of active species: 23 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.523814 Best fitness: 0.746268 Innovation number: 103 Average genome size: 4.113000 Average connection genes: 1.742000 Average field genes: 2.371000 Best solution: [solution 108299 [ fit.: 0.746268, part.: (0.999568, 0.933313, 0.997962, 0.200000, 0.999879, ), spec.: 197, adj.fit.: 0.001918, age: 1, parents (105714, 106537), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 110 Number of solutions: 1000 Number of species: 320 Number of active species: 23 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.666364 Best fitness: 0.746209 Innovation number: 103 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 109679 [ fit.: 0.746209, part.: (0.999586, 0.933340, 0.997447, 0.200000, 0.999930, ), spec.: 92, adj.fit.: 0.006378, age: 0, parents (108732, 108930), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 2 ]  (mutated)}]]
Current generation: 111 Number of solutions: 1000 Number of species: 322 Number of active species: 6 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.631005 Best fitness: 0.746200 Innovation number: 103 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 111133 [ fit.: 0.746200, part.: (0.999816, 0.966285, 0.997525, 0.200000, 0.966709, ), spec.: 249, adj.fit.: 0.003622, age: 0, parents (109924, 110403), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 2 (fg mhk amp. exc. 0.500000)(fg mhk amp. inh. 0.500000)(fg mhk width inh. 0.500000)]  (mutated)}]]
Current generation: 112 Number of solutions: 1000 Number of species: 324 Number of active species: 8 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.619575 Best fitness: 0.746261 Innovation number: 103 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 111133 [ fit.: 0.746261, part.: (0.999909, 0.966331, 0.997775, 0.200000, 0.966709, ), spec.: 197, adj.fit.: 0.001347, age: 1, parents (109924, 110403), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 113 Number of solutions: 1000 Number of species: 325 Number of active species: 9 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.624220 Best fitness: 0.746273 Innovation number: 105 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 111133 [ fit.: 0.746273, part.: (0.999963, 0.966255, 0.997897, 0.200000, 0.966717, ), spec.: 197, adj.fit.: 0.001047, age: 2, parents (109924, 110403), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 114 Number of solutions: 1000 Number of species: 326 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.597928 Best fitness: 0.746248 Innovation number: 105 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 111133 [ fit.: 0.746248, part.: (0.999885, 0.966222, 0.997855, 0.200000, 0.966712, ), spec.: 197, adj.fit.: 0.001206, age: 3, parents (109924, 110403), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 115 Number of solutions: 1000 Number of species: 327 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.595590 Best fitness: 0.746263 Innovation number: 105 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 114804 [ fit.: 0.746263, part.: (0.999836, 0.933381, 0.997932, 0.200000, 0.999606, ), spec.: 197, adj.fit.: 0.001269, age: 0, parents (113623, 113784), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[cg 1-2 (cg gk amp.-0.500000)(cg gk amp. glob.-0.050000)]  (mutated)}]]
Current generation: 116 Number of solutions: 1000 Number of species: 329 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.592554 Best fitness: 0.746315 Innovation number: 107 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 114804 [ fit.: 0.746315, part.: (0.999877, 0.933376, 0.998240, 0.200000, 0.999609, ), spec.: 92, adj.fit.: 0.012235, age: 1, parents (113623, 113784), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 117 Number of solutions: 1000 Number of species: 330 Number of active species: 12 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.599081 Best fitness: 0.746304 Innovation number: 109 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 114804 [ fit.: 0.746304, part.: (0.999856, 0.933374, 0.998232, 0.200000, 0.999579, ), spec.: 197, adj.fit.: 0.001071, age: 2, parents (113623, 113784), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 118 Number of solutions: 1000 Number of species: 332 Number of active species: 10 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.600191 Best fitness: 0.746226 Innovation number: 109 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 114804 [ fit.: 0.746226, part.: (0.999903, 0.933383, 0.997611, 0.200000, 0.999612, ), spec.: 325, adj.fit.: 0.033919, age: 3, parents (113623, 113784), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
